Unclassified,2977
Oscillibacter valericigenes,15
Odoribacter laneus,1
Blautia glucerasea,1
Clostridium sp.,7
Ruminococcus bicirculans,10
Bacteroides caccae,14
Anaerostipes hadrus,1
Ruminococcus sp.,2
Bacteroides massiliensis,15
Barnesiella intestinihominis,2
Bacteroides vulgatus,1
Roseburia faecis,1
Prevotella bivia,1
Bacteroides finegoldii,2
Campylobacter hominis,1
Dorea formicigenerans,3
Blautia sp.,2
[Clostridium] leptum,1
Paraprevotella clara,3
Victivallis vadensis,4
Bacteroides eggerthii,2
Ruminococcus lactaris,3
Leeia oryzae,2
Sutterella sp.,1
Bacteroides salyersiae,3
Odoribacter splanchnicus,5
Breznakia pachnodae,4
Roseburia hominis,1
Coprococcus eutactus,1
Butyrivibrio crossotus,2
Lactobacillus rogosae,1
Bacteroides intestinalis,1
Eubacterium xylanophilum,1
human gut,2
[Clostridium] symbiosum,1
Lachnoclostridium phytofermentans,2
[Clostridium] methylpentosum,1
Bacteroides nordii,2
Lactobacillus iners,1
Chlamydia trachomatis,1
Phocea massiliensis,1
Lactobacillus crispatus,1
Bacteroides ovatus,1
[Clostridium] piliforme,1
Oxalobacter formigenes,1
Blattella germanica,1
Anaerostipes sp.,1
Bittarella massiliensis,1
Bacteroides rodentium,1
Peptococcus sp.,1
