Unclassified,1955
Bacteroides,626
Blautia,55
Faecalibacterium,394
Parasutterella,36
Ruminococcus 1,39
Anaerotruncus,1
Parabacteroides,151
Flavonifractor,14
Oscillibacter,53
Ruminococcus 2,56
Prevotella 9,67
Acidaminococcus,19
Akkermansia,29
Odoribacter,8
Dialister,34
[Clostridium] innocuum group,1
Lachnoclostridium,35
Ruminiclostridium 5,4
Fusicatenibacter,9
Sutterella,5
Coprococcus 2,12
[Ruminococcus] gnavus group,13
Anaerostipes,12
Barnesiella,3
Butyricimonas,5
Prevotella,1
Erysipelatoclostridium,3
Subdoligranulum,3
Campylobacter,1
Ruminiclostridium 6,13
Veillonella,5
Paraprevotella,3
Coprococcus 1,2
Victivallis,4
Clostridium sensu stricto 1,3
Alistipes,18
Leeia,2
Butyrivibrio,3
Eisenbergiella,4
Breznakia,4
Desulfovibrio,2
Lachnoclostridium 5,1
Intestinimonas,1
Streptococcus,5
Lactobacillus,2
Phascolarctobacterium,2
Catenisphaera,1
Romboutsia,3
Phocea,1
Tyzzerella 3,1
Clostridium sensu stricto,1
Holdemania,1
Oxalobacter,1
Butyricicoccus,1
Roseburia,1
Candidatus Soleaferrea,1
