Unclassified,2129
Parasutterella excrementihominis,36
Ruminococcus bicirculans,39
Acidaminococcus intestini,19
Odoribacter laneus,1
[Clostridium] leptum,4
Coprococcus eutactus,12
Bacteroides caccae,14
Anaerostipes hadrus,1
Barnesiella intestinihominis,3
Prevotella bivia,1
Campylobacter hominis,1
Odoribacter splanchnicus,7
Paraprevotella clara,3
Victivallis vadensis,4
Bacteroides eggerthii,2
Leeia oryzae,2
Sutterella sp.,1
Bacteroides salyersiae,3
Butyrivibrio crossotus,3
Breznakia pachnodae,4
Clostridium sp.,1
Alistipes indistinctus,3
Bacteroides nordii,2
Lactobacillus iners,1
Chlamydia trachomatis,1
Phocea massiliensis,1
Lactobacillus crispatus,1
[Clostridium] piliforme,1
Oxalobacter formigenes,1
Blattella germanica,1
Bittarella massiliensis,1
